rank,side,term,tfidf
0,right,advertisement_story_continues,0.613353260327
1,right,donald_trump,0.303308839356
2,right,hillary_clinton,0.299301170933
3,right,united_states,0.275706354851
4,right,planned_parenthood,0.167971734557
5,right,white_house,0.156028351838
6,right,president_obama,0.118377501339
7,right,obama_administration,0.104316158751
8,right,state_department,0.0976968706397
9,right,new_york,0.0928133541503
10,right,last_week,0.0877652843878
11,right,last_year,0.0807107263286
12,right,fox_news,0.0799728906851
13,right,ted_cruz,0.0790121118975
14,right,islamic_state,0.0724087482965
15,right,social_media,0.0706464358242
16,right,new_york_times,0.0670209556478
17,right,supreme_court,0.0662937363445
18,right,bill_clinton,0.0647596751864
19,right,republican_party,0.0626735643381
20,right,middle_east,0.062609866297
21,right,barack_obama,0.0609271763761
22,right,even_though,0.0608847110154
23,right,federal_government,0.0600672528204
24,right,bernie_sanders,0.0536655996831
25,right,clinton_foundation,0.0520519159736
26,right,new_hampshire,0.0499658051253
27,right,gon_na,0.0494933779867
28,right,law_enforcement,0.0494402962857
29,right,dont_know,0.0480867129109
30,right,police_officers,0.0467012805155
31,right,holy_spirit,0.0466800478351
32,right,make_sure,0.0449283517031
33,right,last_month,0.0440100382762
34,right,president_barack_obama,0.043887950364
35,right,dont_want,0.0436490827096
36,right,washington_post,0.043558843818
37,right,black_lives_matter,0.0433995987151
38,right,washington_dc,0.0424441280975
39,right,former_secretary,0.0423804300564
40,right,south_carolina,0.0407295891561
41,right,mr_trump,0.0398059675592
42,right,gun_control,0.0393282322505
43,right,national_security,0.0388823459623
44,right,democratic_party,0.0387602580501
45,right,email_address,0.0379693407056
46,right,north_carolina,0.0379481080252
47,right,last_night,0.0377092403708
48,right,illegal_immigrants,0.0376561586698
49,right,jeb_bush,0.036520210269
50,right,christian_leaders,0.0364299713774
51,right,hillary_clintons,0.0363238079754
52,right,marco_rubio,0.0352515576158
53,right,email_protected,0.0349702246006
54,right,new_york_city,0.0347950549874
55,right,nt_know,0.0346464262247
56,right,climate_change,0.0346305017144
57,right,foreign_policy,0.0337599618185
58,right,mainstream_media,0.0334414716126
59,right,looks_like,0.0334043144219
60,right,every_day,0.0333618490612
61,right,former_president,0.0329743526441
62,right,second_amendment,0.0326824032887
63,right,press_conference,0.0325284663559
64,right,general_election,0.0312651218728
65,right,ca_nt,0.0310740277493
66,right,facebook_page,0.0306652986518
67,right,high_school,0.0302247205337
68,right,police_officer,0.0302194123636
69,right,john_kasich,0.0300442427504
70,right,donald_trumps,0.0298319159465
71,right,justice_department,0.028764973757
72,right,washington_examiner,0.0287012757158
73,right,two_years,0.0286481940148
74,right,ben_carson,0.0277670377787
75,right,mrs_clinton,0.0277617296086
76,right,saudi_arabia,0.0276874152272
77,right,health_care,0.0276555662066
78,right,donald_j_trump_realdonaldtrump,0.0276555662066
79,right,new_jersey,0.0270822838361
80,right,please_share,0.0270132776249
81,right,free_speech,0.0266841710788
82,right,vice_president,0.0265886240171
83,right,wall_street,0.0262064357701
84,right,tea_party,0.0255906880388
85,right,political_correctness,0.025436751106
86,right,illegal_immigration,0.025436751106
87,right,breitbart_news,0.0252084997918
88,right,took_place,0.0247573053335
89,right,syrian_refugees,0.0247413808232
90,right,republican_presidential_candidate,0.0245609030399
91,right,classified_information,0.0244335069576
92,right,pope_francis,0.024237104664
93,right,mitt_romney,0.023961079819
94,right,global_warming,0.0239239226283
95,right,daily_caller,0.0238708409273
96,right,presidential_campaign,0.0237328285048
97,right,nt_want,0.0237009794842
98,right,los_angeles,0.0231011562632
99,right,president_obamas,0.0229684520108
100,right,san_francisco,0.0227720497172
101,right,associated_press,0.0225331820628
102,right,human_rights,0.0223527042795
103,right,body_parts,0.0219386670119
104,right,told_reporters,0.0216891830173
105,right,private_email_server,0.0215033970639
106,right,homeland_security,0.0214609317032
107,right,least_one,0.0213335356208
108,right,national_review,0.0212167558787
109,right,first_amendment,0.0208558003121
110,right,united_nations,0.0206965552091
111,right,first_place,0.0206700143587
112,right,photo_posted,0.0206063163175
113,right,years_ago,0.0204364548744
114,right,next_president,0.0204099140239
115,right,presidential_candidate,0.020309058792
116,right,radical_islam,0.0200383421171
117,right,next_year,0.0197888581225
118,right,feel_like,0.0197357764215
119,right,campaign_trail,0.0197198519113
120,right,terrorist_attack,0.0195818394887
121,right,wo_nt,0.0194172862157
122,right,illegal_aliens,0.0194013617054
123,right,planned_parenthoods,0.0193429718344
124,right,nt_think,0.0192951983035
125,right,same-sex_marriage,0.0191518777108
126,right,republican_nominee,0.0190669469893
127,right,george_w_bush,0.0189130100565
128,right,wall_street_journal,0.0188705446957
129,right,attorney_general,0.0188440038452
130,right,north_korea,0.0187749976339
131,right,paul_ryan,0.018668834232
132,right,little_bit,0.0185679790002
133,right,sexual_assault,0.0184352747477
134,right,daily_mail,0.0183291113458
135,right,muslim_brotherhood,0.0182919541551
136,right,common_sense,0.0182760296448
137,right,america_great,0.0181486335625
138,right,executive_director,0.0179469230988
139,right,european_union,0.0178089106762
140,right,confederate_flag,0.0177292881248
141,right,gay_marriage,0.0176549737434
142,right,yet_another,0.0175381940013
143,right,republican_national_convention,0.0174638796199
144,right,family_members,0.0174001815788
145,right,judicial_watch,0.017251552816
146,right,daily_signal,0.0171878547749
147,right,click_like,0.0171719302646
148,right,carly_fiorina,0.0171666220945
149,right,police_department,0.017140081244
150,right,democrat_party,0.0170923077131
151,right,san_bernardino,0.0168746727391
152,right,ronald_reagan,0.0167101194661
153,right,politically_correct,0.0166995031259
154,right,iran_deal,0.0166676541053
155,right,secretary_clinton,0.0165508743632
156,right,megyn_kelly,0.0165508743632
157,right,vast_majority,0.0164340946211
158,right,minimum_wage,0.0163597802397
159,right,chris_christie,0.0163385475593
160,right,terrorist_attacks,0.0161686861162
161,right,religious_liberty,0.016158069776
162,right,aborted_babies,0.0161262207554
163,right,private_server,0.0159722838226
164,right,next_week,0.0158926612711
165,right,recent_years,0.0158767367609
166,right,civil_war,0.0156484854467
167,right,take_place,0.0156166364261
168,right,tuesday_night,0.0156166364261
169,right,middle_class,0.0155635547251
170,right,world_war_ii,0.015446774983
171,right,nuclear_deal,0.01528222171
172,right,civil_rights,0.0152609890296
173,right,national_anthem,0.0151972909884
174,right,fbi_director_james_comey,0.0149424988237
175,right,federal_law,0.0148947252929
176,right,gateway_pundit,0.0148841089527
