rank,side,term,tfidf
0,left,united_states,0.39795707214
1,left,donald_trump,0.376726788192
2,left,hillary_clinton,0.240357143267
3,left,climate_change,0.217959704864
4,left,new_york,0.158341114549
5,left,amy_goodman,0.153510628594
6,left,last_year,0.149114630794
7,left,president_obama,0.145349066787
8,left,new_york_times,0.143116990385
9,left,bernie_sanders,0.129545625085
10,left,white_house,0.119382010017
11,left,supreme_court,0.113392888983
12,left,last_week,0.108426093019
13,left,fox_news,0.108025682367
14,left,republican_party,0.101840615695
15,left,even_though,0.0988843923687
16,left,social_media,0.0938579607759
17,left,planned_parenthood,0.0846229576461
18,left,north_carolina,0.0795028129219
19,left,ted_cruz,0.0730366068559
20,left,new_york_city,0.070208174163
21,left,washington_post,0.0692625234735
22,left,wall_street,0.0685128184224
23,left,dont_know,0.0673115864655
24,left,make_sure,0.0661359126353
25,left,federal_government,0.0647557737912
26,left,dont_want,0.0640827431203
27,left,high_school,0.0630859761773
28,left,democratic_party,0.0628389142855
29,left,obama_administration,0.0605727603809
30,left,last_month,0.0602319853577
31,left,law_enforcement,0.0599167684612
32,left,south_carolina,0.0588007302601
33,left,feel_like,0.0554781737835
34,left,new_hampshire,0.054958491873
35,left,police_officers,0.0547540268591
36,left,photo_credit,0.0522578498139
37,left,los_angeles,0.0519937491709
38,left,washington_dc,0.0516103772697
39,left,ca_nt,0.0507584397116
40,left,every_day,0.0506562072046
41,left,two_years,0.0505539746977
42,left,photo_posted,0.050323951557
43,left,black_lives_matter,0.0491908746047
44,left,looks_like,0.0479214876431
45,left,health_care,0.047171782592
46,left,president_barack_obama,0.0470951082118
47,left,human_rights,0.0468991625734
48,left,middle_east,0.0464987519211
49,left,global_warming,0.0462005737758
50,left,jeb_bush,0.0457405274944
51,left,nt_know,0.0445478149131
52,left,executive_director,0.0432017535713
53,left,donald_trumps,0.0421368316236
54,left,barack_obama,0.0417364209713
55,left,last_night,0.0414552815772
56,left,fossil_fuels,0.0412848940655
57,left,transgender_people,0.0408333671597
58,left,associated_press,0.0401944139912
59,left,same-sex_marriage,0.0399388327237
60,left,marriage_equality,0.039913274597
61,left,civil_rights,0.0398791970947
62,left,sexual_assault,0.0398536389679
63,left,police_officer,0.0395895383249
64,left,new_jersey,0.0392061664238
65,left,san_francisco,0.039180608297
66,left,foreign_policy,0.0389335464052
67,left,minimum_wage,0.0378686244576
68,left,recent_years,0.0376045238145
69,left,years_ago,0.0372552294157
70,left,gender_identity,0.0368292606367
71,left,lgbt_people,0.0362669818483
72,left,african_americans,0.0361817880925
73,left,nt_want,0.03570470306
74,left,bill_clinton,0.0356791449332
75,left,first_place,0.0356195093042
76,left,saudi_arabia,0.03533836991
77,left,marco_rubio,0.0341456573287
78,left,new_orleans,0.0339071148124
79,left,ben_carson,0.0337282079252
80,left,same-sex_couples,0.033549301038
81,left,general_election,0.0334555879066
82,left,wo_nt,0.0333959522775
83,left,little_bit,0.0333022391461
84,left,gun_violence,0.0329018284938
85,left,press_conference,0.0326973634799
86,left,islamic_state,0.0323736272078
87,left,mr_trump,0.0323395497055
88,left,civil_war,0.0320669296869
89,left,presidential_campaign,0.0318880227997
90,left,renewable_energy,0.031393899016
91,left,public_health,0.0310446046172
92,left,pope_francis,0.0306953102184
93,left,huffington_post,0.0306697520916
94,left,every_year,0.0301841476835
95,left,presidential_candidate,0.0299541245428
96,left,public_schools,0.0295707526417
97,left,state_department,0.0293236907498
98,left,vice_president,0.0292896132475
99,left,national_security,0.0291618226138
100,left,confederate_flag,0.0289062413463
101,left,george_w_bush,0.0288636444684
102,left,natural_gas,0.0288210475905
103,left,republican_presidential_candidate,0.0285995438254
104,left,middle_class,0.0284376756894
105,left,st_petersburg,0.0281650556708
106,left,vast_majority,0.0280372650371
107,left,united_nations,0.0278668775255
108,left,family_members,0.0274579474976
109,left,sexual_orientation,0.0274238699952
110,left,facebook_page,0.0273642343662
111,left,yet_another,0.0272279243569
112,left,police_department,0.0270916143476
113,left,social_security,0.0269723430895
114,left,nt_think,0.0269553043383
115,left,took_place,0.0266315680662
116,left,death_penalty,0.0265378549348
117,left,least_one,0.026350428672
118,left,gun_control,0.0261289249069
119,left,next_year,0.02566035925
120,left,pretty_much,0.0255666461186
121,left,puerto_rico,0.0255070104895
122,left,40_percent,0.0252684679733
123,left,media_matters,0.0252514292221
124,left,bottom_line,0.0251662354663
125,left,syrian_refugees,0.0250810417105
126,left,lgbt_community,0.0250128867058
127,left,mental_health,0.0248936154477
128,left,police_brutality,0.0248169410675
129,left,five_years,0.024663592307
130,left,press_release,0.0243909722884
131,left,tea_party,0.024297259157
132,left,tampa_bay,0.0240587166407
133,left,african_american,0.0233601278431
134,left,justice_department,0.0232664147117
135,left,featured_image_via,0.0232238178338
136,left,three_years,0.0231130659513
137,left,kim_davis,0.023036391571
138,left,wall_street_journal,0.0229852753175
139,left,50_percent,0.0229171203129
140,left,three_times,0.0227552521769
141,left,former_secretary,0.0225422677873
142,left,president_obamas,0.0224911515338
143,left,human_beings,0.0224144771536
144,left,clean_energy,0.0222696477687
145,left,ever_since,0.0222100121397
146,left,us_supreme_court,0.0221674152618
147,left,mainstream_media,0.0220311052525
148,left,doesnt_mean,0.0220055471257
149,left,republican_nominee,0.0219203533699
150,left,undocumented_immigrants,0.021715888356
151,left,world_war_ii,0.0217073689804
152,left,nuclear_weapons,0.0216306946002
153,left,donald_j_trump_realdonaldtrump,0.0215625395955
154,left,gay_marriage,0.0215625395955
155,left,real_estate,0.0215540202199
156,left,1_million,0.0215199427176
157,left,next_president,0.021511423342
158,left,koch_brothers,0.0211791676944
159,left,affordable_care_act,0.0211536095676
160,left,presidential_candidates,0.0211280514409
161,left,sounds_like,0.0209917414316
162,left,former_president,0.0209406251781
163,left,chris_christie,0.0208980283002
164,left,everyone_else,0.0208128345444
165,left,campaign_trail,0.0207617182909
166,left,20_years,0.0206850439107
167,left,north_dakota,0.0206765245351
168,left,hillary_clintons,0.0205998501549
169,left,90_percent,0.0205657726525
170,left,attorney_general,0.0205061370235
171,left,someone_else,0.0204976176479
172,left,mitt_romney,0.0204720595211
173,left,10_percent,0.02045502077
174,left,80_percent,0.02045502077
175,left,domestic_violence,0.0204294626432
176,left,republican_candidates,0.0204294626432
177,left,voting_rights,0.0204209432677
178,left,gon_na,0.0204039045165
179,left,20_percent,0.0204039045165
180,left,tuesday_night,0.0202335170049
181,left,status_quo,0.0201398038735
182,left,john_kasich,0.0201227651223
183,left,per_year,0.0201057263712
184,left,mike_pence,0.0199608969863
185,left,charter_schools,0.019926819484
186,left,four_years,0.0197990288502
187,left,european_union,0.0196030832119
188,left,black_lives_matter_movement,0.0195690057096
189,left,take_place,0.0195264088317
190,left,told_reporters,0.0194241763247
191,left,10_years,0.0192623081886
192,left,white_men,0.0191856338084
193,left,much_less,0.0191430369305
194,left,weve_seen,0.0191259981793
195,left,second_amendment,0.0190493237991
196,left,take_care,0.0188704169119
197,left,religious_right,0.0188193006584
198,left,iraq_war,0.0185126031375
199,left,ronald_reagan,0.018299618748
200,left,drinking_water,0.0182910993724
201,left,juan_gonzlez,0.0182825799968
202,left,paul_ryan,0.0182229443678
203,left,new_york_daily_news,0.0182144249922
204,left,republican_national_convention,0.0182059056166
205,left,elected_officials,0.0181633087387
206,left,mike_huckabee,0.018137750612
207,left,mass_shootings,0.0180866343585
208,left,mass_shooting,0.0180866343585
209,left,higher_education,0.0180099599782
210,left,tax_returns,0.0179758824759
211,left,scott_walker,0.0178906887201
212,left,get_rid,0.0178821693445
213,left,birth_control,0.0178480918422
214,left,carbon_dioxide,0.0178225337155
215,left,first_amendment,0.0178140143399
216,left,next_week,0.0177884562131
217,left,nt_even,0.017771417462
218,left,mental_illness,0.0177373399596
219,left,las_vegas,0.0177203012085
220,left,anyone_else,0.0177032624573
221,left,youve_got,0.0177032624573
222,left,past_year,0.0176947430817
223,left,monday_night,0.0176777043306
224,left,federal_judge,0.0176180687015
225,left,100_percent,0.0176095493259
226,left,election_day,0.0175413943213
227,left,west_virginia,0.0175328749457
228,left,task_force,0.0173965649364
229,left,prime_minister,0.0173624874341
230,left,los_angeles_times,0.0173198905562
231,left,feels_like,0.0173198905562
232,left,wednesday_night,0.0172602549271
233,left,young_man,0.0172602549271
234,left,30_percent,0.0171324642934
235,left,2016_election,0.0171069061667
236,left,white_supremacist,0.0171069061667
237,left,fossil_fuel,0.0170983867911
238,left,several_years,0.0170302317864
239,left,thursday_night,0.0169450380306
240,left,six_months,0.0169279992795
241,left,much_better,0.0169279992795
242,left,weve_got,0.0169024411527
243,left,next_day,0.0167831698946
244,left,st_louis,0.0167831698946
245,left,secretary_clinton,0.0167235342655
246,left,sarah_palin,0.0166042630074
247,left,great_deal,0.0165787048806
248,left,democratic_presidential_candidate,0.0165190692516
249,left,video_posted,0.0164935111248
250,left,black_community,0.0164849917492
251,left,american_politics,0.0164679529981
252,left,free_speech,0.0164679529981
253,left,school_district,0.0164423948713
254,left,60_percent,0.0164253561202
255,left,25_percent,0.016408317369
256,left,federal_court,0.016408317369
257,left,health_insurance,0.0163997979934
258,left,im_sure,0.0163912786178
259,left,two_weeks,0.0163912786178
260,left,looked_like,0.0163146042376
261,left,criminal_justice_system,0.0162975654865
262,left,america_great,0.0162805267353
263,left,democratic_national_convention,0.0162634879841
264,left,white_supremacy,0.0159482710876
265,left,70_percent,0.0158460385807
266,left,two_years_ago,0.0158460385807
267,left,dont_care,0.0158289998295
268,left,gay_men,0.0158204804539
269,left,mother_jones,0.0158204804539
270,left,presidential_election,0.015777883576
271,left,nbc_news,0.0157012091958
272,left,megyn_kelly,0.0156926898202
273,left,religious_freedom,0.015675651069
274,left,first_lady,0.0156415735667
